window_size_s,tp_count,mean_orig_iou,mean_vad_iou,mean_orig_iou_pct,mean_vad_iou_pct
0.3,939,0.3176021240721034,0.34961568552458594,31.760212407210343,34.961568552458594
0.4,941,0.2849673702240019,0.3231383225824876,28.496737022400193,32.31383225824876
0.5,1037,0.24891955829919915,0.28979810088339075,24.891955829919915,28.979810088339075
0.6,1173,0.2266755808487371,0.2800267126973666,22.66755808487371,28.002671269736663
0.7,1197,0.2065672283898687,0.2597584854193631,20.65672283898687,25.97584854193631
0.8,1200,0.19804121704312805,0.24448756786282028,19.804121704312806,24.44875678628203
0.9,1227,0.18204026280488808,0.2268827834974414,18.204026280488808,22.688278349744138
1.0,1178,0.17203532958983403,0.2147131495809597,17.203532958983402,21.47131495809597
1.1,1142,0.1651966075576557,0.20821027001353665,16.51966075576557,20.821027001353663
1.2,1096,0.1555850667512695,0.1980472144125798,15.558506675126951,19.804721441257982
1.3,1038,0.14782303727967122,0.19278740798209873,14.782303727967122,19.278740798209874
1.4,1089,0.14259169371046654,0.18196447010575478,14.259169371046653,18.19644701057548
1.5,1094,0.13942030997062899,0.18121257333566412,13.942030997062899,18.12125733356641
1.6,1097,0.13591950685071424,0.16946005274280102,13.591950685071424,16.9460052742801
1.7,1037,0.13207123103359003,0.16805995782906577,13.207123103359002,16.805995782906578
1.8,1046,0.12992863963001275,0.16725108913089934,12.992863963001275,16.725108913089933
1.9,1004,0.12696763923789176,0.1682357348652576,12.696763923789176,16.82357348652576
2.0,977,0.12266091033424247,0.16937494786609147,12.266091033424246,16.937494786609147
