Evaluation_Method,Window_Size_seconds,Stride,Stride_Numeric,Binary_F1_Score,Binary_Accuracy,Binary_Precision,Binary_Recall,Multiclass_F1_Score,Multiclass_Accuracy,Word_Level_F1_Score,IoU_F1_Score,Mean_IoU_Percentage
iou,0.3,90.0%,0.9,0.0446,0.0816,0.0229,0.9442,,,0.0579,0.0213,26.62
iou_word_sep,0.3,90.0%,0.9,0.0446,0.0816,0.0229,0.9442,,,0.0579,0.0211,
window,0.3,90.0%,0.9,0.0446,0.0816,0.0229,0.9442,0.4349,0.4859,,,
word,0.3,90.0%,0.9,0.0446,0.0816,0.0229,0.9442,,,0.0579,,
iou,0.4,70.0%,0.7,0.0625,0.1182,0.0323,0.9362,,,0.064,0.0289,33.21
iou_word_sep,0.4,70.0%,0.7,0.0625,0.1182,0.0323,0.9362,,,0.064,0.0294,
window,0.4,70.0%,0.7,0.0625,0.1182,0.0323,0.9362,0.4263,0.4805,,,
word,0.4,70.0%,0.7,0.0625,0.1182,0.0323,0.9362,,,0.064,,
iou,0.4,0.25,0.25,0.0618,0.1223,0.0319,0.9418,,,0.0613,0.0242,32.43
iou_word_sep,0.4,0.25,0.25,0.0618,0.1223,0.0319,0.9418,,,0.0613,0.0256,
window,0.4,0.25,0.25,0.0618,0.1223,0.0319,0.9418,0.4056,0.4717,,,
word,0.4,0.25,0.25,0.0618,0.1223,0.0319,0.9418,,,0.0613,,
iou,0.4,0.35,0.35,0.0616,0.1223,0.0318,0.9482,,,0.0689,0.0337,30.05
iou_word_sep,0.4,0.35,0.35,0.0616,0.1223,0.0318,0.9482,,,0.0689,0.034,
window,0.4,0.35,0.35,0.0616,0.1223,0.0318,0.9482,0.4395,0.5012,,,
word,0.4,0.35,0.35,0.0616,0.1223,0.0318,0.9482,,,0.0689,,
iou,0.4,80.0%,0.8,0.0608,0.1218,0.0314,0.9457,,,0.0657,0.0305,32.23
iou_word_sep,0.4,80.0%,0.8,0.0608,0.1218,0.0314,0.9457,,,0.0657,0.0307,
window,0.4,80.0%,0.8,0.0608,0.1218,0.0314,0.9457,0.4313,0.4828,,,
word,0.4,80.0%,0.8,0.0608,0.1218,0.0314,0.9457,,,0.0657,,
iou,0.4,0.4,0.4,0.0607,0.12,0.0314,0.933,,,0.0492,0.0303,27.33
iou,0.4,100.0%,1.0,0.0607,0.12,0.0314,0.933,,,0.0492,0.0303,27.33
iou,0.4,40.0%,0.4,0.0607,0.1211,0.0313,0.9445,,,0.06,0.0269,40.16
iou_word_sep,0.4,0.4,0.4,0.0607,0.12,0.0314,0.933,,,0.0492,0.0303,
iou_word_sep,0.4,100.0%,1.0,0.0607,0.12,0.0314,0.933,,,0.0492,0.0303,
iou_word_sep,0.4,40.0%,0.4,0.0607,0.1211,0.0313,0.9445,,,0.06,0.0284,
window,0.4,0.4,0.4,0.0607,0.12,0.0314,0.933,0.4139,0.4713,,,
window,0.4,100.0%,1.0,0.0607,0.12,0.0314,0.933,0.4139,0.4713,,,
window,0.4,40.0%,0.4,0.0607,0.1211,0.0313,0.9445,0.4221,0.4781,,,
word,0.4,0.4,0.4,0.0607,0.12,0.0314,0.933,,,0.0492,,
word,0.4,100.0%,1.0,0.0607,0.12,0.0314,0.933,,,0.0492,,
word,0.4,40.0%,0.4,0.0607,0.1211,0.0313,0.9445,,,0.06,,
iou,0.4,0.2,0.2,0.0605,0.12,0.0313,0.9378,,,0.0564,0.0274,36.92
iou,0.4,30.0%,0.3,0.0605,0.12,0.0313,0.9308,,,0.0594,0.0238,42.37
iou,0.4,50.0%,0.5,0.0605,0.12,0.0313,0.9378,,,0.0564,0.0274,36.92
iou_word_sep,0.4,0.2,0.2,0.0605,0.12,0.0313,0.9378,,,0.0564,0.0268,
iou_word_sep,0.4,30.0%,0.3,0.0605,0.12,0.0313,0.9308,,,0.0594,0.0276,
iou_word_sep,0.4,50.0%,0.5,0.0605,0.12,0.0313,0.9378,,,0.0564,0.0268,
window,0.4,0.2,0.2,0.0605,0.12,0.0313,0.9378,0.4225,0.4813,,,
window,0.4,30.0%,0.3,0.0605,0.12,0.0313,0.9308,0.4161,0.4758,,,
window,0.4,50.0%,0.5,0.0605,0.12,0.0313,0.9378,0.4225,0.4813,,,
word,0.4,0.2,0.2,0.0605,0.12,0.0313,0.9378,,,0.0564,,
word,0.4,30.0%,0.3,0.0605,0.12,0.0313,0.9308,,,0.0594,,
word,0.4,50.0%,0.5,0.0605,0.12,0.0313,0.9378,,,0.0564,,
iou,0.4,20.0%,0.2,0.0604,0.1212,0.0312,0.9326,,,0.054,0.0239,51.36
iou_word_sep,0.4,20.0%,0.2,0.0604,0.1212,0.0312,0.9326,,,0.054,0.0257,
window,0.4,20.0%,0.2,0.0604,0.1212,0.0312,0.9326,0.4253,0.4812,,,
word,0.4,20.0%,0.2,0.0604,0.1212,0.0312,0.9326,,,0.054,,
iou,0.4,10.0%,0.1,0.0603,0.1198,0.0311,0.932,,,0.0517,0.0174,67.05
iou_word_sep,0.4,10.0%,0.1,0.0603,0.1198,0.0311,0.932,,,0.0517,0.0229,
window,0.4,10.0%,0.1,0.0603,0.1198,0.0311,0.932,0.4271,0.4858,,,
word,0.4,10.0%,0.1,0.0603,0.1198,0.0311,0.932,,,0.0517,,
iou,0.4,60.0%,0.6,0.0602,0.1207,0.0311,0.9303,,,0.0632,0.0274,35.85
iou_word_sep,0.4,60.0%,0.6,0.0602,0.1207,0.0311,0.9303,,,0.0632,0.0262,
window,0.4,60.0%,0.6,0.0602,0.1207,0.0311,0.9303,0.4394,0.4948,,,
word,0.4,60.0%,0.6,0.0602,0.1207,0.0311,0.9303,,,0.0632,,
iou,0.4,0.3,0.3,0.0588,0.1192,0.0304,0.9315,,,0.0653,0.0249,30.92
iou_word_sep,0.4,0.3,0.3,0.0588,0.1192,0.0304,0.9315,,,0.0653,0.0252,
window,0.4,0.3,0.3,0.0588,0.1192,0.0304,0.9315,0.4362,0.4944,,,
word,0.4,0.3,0.3,0.0588,0.1192,0.0304,0.9315,,,0.0653,,
iou,0.5,0.4,0.4,0.0766,0.1689,0.04,0.9154,,,0.0766,0.037,32.18
iou,0.5,80.0%,0.8,0.0766,0.1689,0.04,0.9154,,,0.0766,0.037,32.18
iou_word_sep,0.5,0.4,0.4,0.0766,0.1689,0.04,0.9154,,,0.0766,0.0376,
iou_word_sep,0.5,80.0%,0.8,0.0766,0.1689,0.04,0.9154,,,0.0766,0.0376,
window,0.5,0.4,0.4,0.0766,0.1689,0.04,0.9154,0.4244,0.4882,,,
window,0.5,80.0%,0.8,0.0766,0.1689,0.04,0.9154,0.4244,0.4882,,,
word,0.5,0.4,0.4,0.0766,0.1689,0.04,0.9154,,,0.0766,,
word,0.5,80.0%,0.8,0.0766,0.1689,0.04,0.9154,,,0.0766,,
