Evaluation_Method,Window_Size_seconds,Stride,Stride_Numeric,Binary_F1_Score,Binary_Accuracy,Binary_Precision,Binary_Recall,Multiclass_F1_Score,Multiclass_Accuracy,Word_Level_F1_Score,IoU_F1_Score,Mean_IoU_Percentage
word,0.7,50.0%,0.5,0.1026,0.2372,0.0546,0.8425,,,0.0875,,
iou,0.7,10.0%,0.1,0.1025,0.2358,0.0545,0.8453,,,0.0823,0.0282,63.22
iou_word_sep,0.7,10.0%,0.1,0.1025,0.2358,0.0545,0.8453,,,0.0823,0.0359,
window,0.7,10.0%,0.1,0.1025,0.2358,0.0545,0.8453,0.415,0.5005,,,
word,0.7,10.0%,0.1,0.1025,0.2358,0.0545,0.8453,,,0.0823,,
iou,0.7,0.55,0.55,0.1021,0.2358,0.0543,0.8505,,,0.0887,0.0493,31.13
iou_word_sep,0.7,0.55,0.55,0.1021,0.2358,0.0543,0.8505,,,0.0887,0.0498,
window,0.7,0.55,0.55,0.1021,0.2358,0.0543,0.8505,0.3973,0.4935,,,
word,0.7,0.55,0.55,0.1021,0.2358,0.0543,0.8505,,,0.0887,,
iou,0.7,20.0%,0.2,0.1019,0.234,0.0542,0.842,,,0.0888,0.0368,49.92
iou_word_sep,0.7,20.0%,0.2,0.1019,0.234,0.0542,0.842,,,0.0888,0.0426,
window,0.7,20.0%,0.2,0.1019,0.234,0.0542,0.842,0.422,0.503,,,
word,0.7,20.0%,0.2,0.1019,0.234,0.0542,0.842,,,0.0888,,
iou,0.7,70.0%,0.7,0.1015,0.2316,0.054,0.8527,,,0.0925,0.051,36.17
iou_word_sep,0.7,70.0%,0.7,0.1015,0.2316,0.054,0.8527,,,0.0925,0.0519,
window,0.7,70.0%,0.7,0.1015,0.2316,0.054,0.8527,0.4487,0.53,,,
word,0.7,70.0%,0.7,0.1015,0.2316,0.054,0.8527,,,0.0925,,
iou,0.7,60.0%,0.6,0.1014,0.2355,0.054,0.8246,,,0.0856,0.0515,37.24
iou_word_sep,0.7,60.0%,0.6,0.1014,0.2355,0.054,0.8246,,,0.0856,0.0522,
window,0.7,60.0%,0.6,0.1014,0.2355,0.054,0.8246,0.4357,0.5209,,,
word,0.7,60.0%,0.6,0.1014,0.2355,0.054,0.8246,,,0.0856,,
iou,0.7,0.6,0.6,0.1013,0.2338,0.0539,0.8547,,,0.1,0.0507,29.98
iou_word_sep,0.7,0.6,0.6,0.1013,0.2338,0.0539,0.8547,,,0.1,0.0507,
window,0.7,0.6,0.6,0.1013,0.2338,0.0539,0.8547,0.4095,0.4816,,,
word,0.7,0.6,0.6,0.1013,0.2338,0.0539,0.8547,,,0.1,,
iou,0.7,0.7,0.7,0.1012,0.2346,0.0539,0.832,,,0.08,0.0562,31.07
iou,0.7,100.0%,1.0,0.1012,0.2346,0.0539,0.832,,,0.08,0.0562,31.07
iou_word_sep,0.7,0.7,0.7,0.1012,0.2346,0.0539,0.832,,,0.08,0.0551,
iou_word_sep,0.7,100.0%,1.0,0.1012,0.2346,0.0539,0.832,,,0.08,0.0551,
window,0.7,0.7,0.7,0.1012,0.2346,0.0539,0.832,0.4626,0.5364,,,
window,0.7,100.0%,1.0,0.1012,0.2346,0.0539,0.832,0.4626,0.5364,,,
word,0.7,0.7,0.7,0.1012,0.2346,0.0539,0.832,,,0.08,,
word,0.7,100.0%,1.0,0.1012,0.2346,0.0539,0.832,,,0.08,,
iou,0.7,30.0%,0.3,0.1011,0.2359,0.0538,0.8364,,,0.0967,0.0411,40.76
iou_word_sep,0.7,30.0%,0.3,0.1011,0.2359,0.0538,0.8364,,,0.0967,0.0453,
window,0.7,30.0%,0.3,0.1011,0.2359,0.0538,0.8364,0.4309,0.51,,,
word,0.7,30.0%,0.3,0.1011,0.2359,0.0538,0.8364,,,0.0967,,
iou,0.7,0.45,0.45,0.1009,0.2341,0.0536,0.8509,,,0.0899,0.0461,33.63
iou_word_sep,0.7,0.45,0.45,0.1009,0.2341,0.0536,0.8509,,,0.0899,0.0469,
window,0.7,0.45,0.45,0.1009,0.2341,0.0536,0.8509,0.4029,0.4872,,,
word,0.7,0.45,0.45,0.1009,0.2341,0.0536,0.8509,,,0.0899,,
iou,0.7,0.65,0.65,0.1005,0.2387,0.0536,0.8147,,,0.0975,0.0544,29.4
iou_word_sep,0.7,0.65,0.65,0.1005,0.2387,0.0536,0.8147,,,0.0975,0.0534,
window,0.7,0.65,0.65,0.1005,0.2387,0.0536,0.8147,0.403,0.4984,,,
word,0.7,0.65,0.65,0.1005,0.2387,0.0536,0.8147,,,0.0975,,
iou,0.7,90.0%,0.9,0.098,0.2308,0.0521,0.827,,,0.095,0.0537,29.56
iou_word_sep,0.7,90.0%,0.9,0.098,0.2308,0.0521,0.827,,,0.095,0.0537,
window,0.7,90.0%,0.9,0.098,0.2308,0.0521,0.827,0.424,0.5108,,,
word,0.7,90.0%,0.9,0.098,0.2308,0.0521,0.827,,,0.095,,
iou,0.8,70.0%,0.7,0.1201,0.2698,0.0646,0.8532,,,0.0942,0.0576,33.56
iou_word_sep,0.8,70.0%,0.7,0.1201,0.2698,0.0646,0.8532,,,0.0942,0.0562,
window,0.8,70.0%,0.7,0.1201,0.2698,0.0646,0.8532,0.4008,0.4977,,,
word,0.8,70.0%,0.7,0.1201,0.2698,0.0646,0.8532,,,0.0942,,
iou,0.8,0.55,0.55,0.1165,0.2644,0.0627,0.8136,,,0.0982,0.0552,33.5
iou_word_sep,0.8,0.55,0.55,0.1165,0.2644,0.0627,0.8136,,,0.0982,0.0538,
window,0.8,0.55,0.55,0.1165,0.2644,0.0627,0.8136,0.3971,0.4931,,,
word,0.8,0.55,0.55,0.1165,0.2644,0.0627,0.8136,,,0.0982,,
iou,0.8,80.0%,0.8,0.1163,0.2639,0.0625,0.8337,,,0.1047,0.0593,34.59
iou_word_sep,0.8,80.0%,0.8,0.1163,0.2639,0.0625,0.8337,,,0.1047,0.0588,
window,0.8,80.0%,0.8,0.1163,0.2639,0.0625,0.8337,0.4295,0.5121,,,
word,0.8,80.0%,0.8,0.1163,0.2639,0.0625,0.8337,,,0.1047,,
iou,0.8,90.0%,0.9,0.1156,0.263,0.0622,0.8099,,,0.1077,0.055,29.1
iou_word_sep,0.8,90.0%,0.9,0.1156,0.263,0.0622,0.8099,,,0.1077,0.0539,
window,0.8,90.0%,0.9,0.1156,0.263,0.0622,0.8099,0.4089,0.497,,,
word,0.8,90.0%,0.9,0.1156,0.263,0.0622,0.8099,,,0.1077,,
iou,0.8,0.4,0.4,0.1148,0.2619,0.0617,0.8139,,,0.0943,0.0509,35.69
iou,0.8,30.0%,0.3,0.1148,0.2611,0.0617,0.8162,,,0.1062,0.0406,39.3
iou,0.8,50.0%,0.5,0.1148,0.2619,0.0617,0.8139,,,0.0943,0.0509,35.69
iou_word_sep,0.8,0.4,0.4,0.1148,0.2619,0.0617,0.8139,,,0.0943,0.0497,
iou_word_sep,0.8,30.0%,0.3,0.1148,0.2611,0.0617,0.8162,,,0.1062,0.0458,
iou_word_sep,0.8,50.0%,0.5,0.1148,0.2619,0.0617,0.8139,,,0.0943,0.0497,
window,0.8,0.4,0.4,0.1148,0.2619,0.0617,0.8139,0.4155,0.5085,,,
window,0.8,30.0%,0.3,0.1148,0.2611,0.0617,0.8162,0.3973,0.4882,,,
window,0.8,50.0%,0.5,0.1148,0.2619,0.0617,0.8139,0.4155,0.5085,,,
word,0.8,0.4,0.4,0.1148,0.2619,0.0617,0.8139,,,0.0943,,
word,0.8,30.0%,0.3,0.1148,0.2611,0.0617,0.8162,,,0.1062,,
word,0.8,50.0%,0.5,0.1148,0.2619,0.0617,0.8139,,,0.0943,,
iou,0.8,60.0%,0.6,0.1147,0.2588,0.0617,0.8059,,,0.0935,0.0491,34.39
iou_word_sep,0.8,60.0%,0.6,0.1147,0.2588,0.0617,0.8059,,,0.0935,0.0495,
window,0.8,60.0%,0.6,0.1147,0.2588,0.0617,0.8059,0.3913,0.4898,,,
word,0.8,60.0%,0.6,0.1147,0.2588,0.0617,0.8059,,,0.0935,,
iou,0.8,0.75,0.75,0.1146,0.2603,0.0616,0.8194,,,0.1014,0.0531,25.99
iou_word_sep,0.8,0.75,0.75,0.1146,0.2603,0.0616,0.8194,,,0.1014,0.0537,
window,0.8,0.75,0.75,0.1146,0.2603,0.0616,0.8194,0.3358,0.4409,,,
word,0.8,0.75,0.75,0.1146,0.2603,0.0616,0.8194,,,0.1014,,
iou,0.8,0.6,0.6,0.1145,0.2579,0.0615,0.8201,,,0.1029,0.0564,32.49
iou,0.8,10.0%,0.1,0.1145,0.2625,0.0616,0.8153,,,0.0943,0.0343,59.11
iou_word_sep,0.8,0.6,0.6,0.1145,0.2579,0.0615,0.8201,,,0.1029,0.0554,
iou_word_sep,0.8,10.0%,0.1,0.1145,0.2625,0.0616,0.8153,,,0.0943,0.0412,
window,0.8,0.6,0.6,0.1145,0.2579,0.0615,0.8201,0.4173,0.5077,,,
window,0.8,10.0%,0.1,0.1145,0.2625,0.0616,0.8153,0.4,0.4919,,,
word,0.8,0.6,0.6,0.1145,0.2579,0.0615,0.8201,,,0.1029,,
word,0.8,10.0%,0.1,0.1145,0.2625,0.0616,0.8153,,,0.0943,,
iou,0.8,40.0%,0.4,0.1137,0.2613,0.0611,0.811,,,0.0985,0.0476,36.67
iou_word_sep,0.8,40.0%,0.4,0.1137,0.2613,0.0611,0.811,,,0.0985,0.0494,
window,0.8,40.0%,0.4,0.1137,0.2613,0.0611,0.811,0.4034,0.491,,,
word,0.8,40.0%,0.4,0.1137,0.2613,0.0611,0.811,,,0.0985,,
iou,0.8,0.45,0.45,0.1135,0.2625,0.061,0.8146,,,0.0973,0.052,34.87
iou,0.8,20.0%,0.2,0.1135,0.2612,0.061,0.8116,,,0.0902,0.0404,44.78
iou_word_sep,0.8,0.45,0.45,0.1135,0.2625,0.061,0.8146,,,0.0973,0.0493,
iou_word_sep,0.8,20.0%,0.2,0.1135,0.2612,0.061,0.8116,,,0.0902,0.0438,
window,0.8,0.45,0.45,0.1135,0.2625,0.061,0.8146,0.4011,0.4903,,,
window,0.8,20.0%,0.2,0.1135,0.2612,0.061,0.8116,0.3891,0.4872,,,
word,0.8,0.45,0.45,0.1135,0.2625,0.061,0.8146,,,0.0973,,
word,0.8,20.0%,0.2,0.1135,0.2612,0.061,0.8116,,,0.0902,,
iou,0.8,0.8,0.8,0.113,0.2575,0.0608,0.7989,,,0.0857,0.0555,28.45
iou,0.8,100.0%,1.0,0.113,0.2575,0.0608,0.7989,,,0.0857,0.0555,28.45
iou_word_sep,0.8,0.8,0.8,0.113,0.2575,0.0608,0.7989,,,0.0857,0.0549,
iou_word_sep,0.8,100.0%,1.0,0.113,0.2575,0.0608,0.7989,,,0.0857,0.0549,
window,0.8,0.8,0.8,0.113,0.2575,0.0608,0.7989,0.4103,0.5034,,,
window,0.8,100.0%,1.0,0.113,0.2575,0.0608,0.7989,0.4103,0.5034,,,
word,0.8,0.8,0.8,0.113,0.2575,0.0608,0.7989,,,0.0857,,
word,0.8,100.0%,1.0,0.113,0.2575,0.0608,0.7989,,,0.0857,,
iou,0.8,0.7,0.7,0.1129,0.2642,0.0607,0.7961,,,0.1063,0.0549,28.64
iou_word_sep,0.8,0.7,0.7,0.1129,0.2642,0.0607,0.7961,,,0.1063,0.0571,
window,0.8,0.7,0.7,0.1129,0.2642,0.0607,0.7961,0.4219,0.5183,,,
word,0.8,0.7,0.7,0.1129,0.2642,0.0607,0.7961,,,0.1063,,
iou,0.8,0.5,0.5,0.1121,0.2609,0.0603,0.7866,,,0.0912,0.0531,32.96
iou_word_sep,0.8,0.5,0.5,0.1121,0.2609,0.0603,0.7866,,,0.0912,0.0544,
window,0.8,0.5,0.5,0.1121,0.2609,0.0603,0.7866,0.3734,0.4792,,,
word,0.8,0.5,0.5,0.1121,0.2609,0.0603,0.7866,,,0.0912,,
iou,0.8,0.65,0.65,0.1108,0.2573,0.0595,0.795,,,0.1053,0.0565,30.75
iou_word_sep,0.8,0.65,0.65,0.1108,0.2573,0.0595,0.795,,,0.1053,0.0529,
window,0.8,0.65,0.65,0.1108,0.2573,0.0595,0.795,0.39,0.4842,,,
word,0.8,0.65,0.65,0.1108,0.2573,0.0595,0.795,,,0.1053,,
iou,0.9,0.9,0.9,0.1322,0.2895,0.0719,0.824,,,0.086,0.0553,25.13
iou,0.9,100.0%,1.0,0.1322,0.2895,0.0719,0.824,,,0.086,0.0553,25.13
iou_word_sep,0.9,0.9,0.9,0.1322,0.2895,0.0719,0.824,,,0.086,0.0546,
iou_word_sep,0.9,100.0%,1.0,0.1322,0.2895,0.0719,0.824,,,0.086,0.0546,
window,0.9,0.9,0.9,0.1322,0.2895,0.0719,0.824,0.3572,0.461,,,
window,0.9,100.0%,1.0,0.1322,0.2895,0.0719,0.824,0.3572,0.461,,,
word,0.9,0.9,0.9,0.1322,0.2895,0.0719,0.824,,,0.086,,
word,0.9,100.0%,1.0,0.1322,0.2895,0.0719,0.824,,,0.086,,
iou,0.9,0.6,0.6,0.1284,0.2841,0.0698,0.8011,,,0.1032,0.0577,31.89
iou_word_sep,0.9,0.6,0.6,0.1284,0.2841,0.0698,0.8011,,,0.1032,0.0557,
window,0.9,0.6,0.6,0.1284,0.2841,0.0698,0.8011,0.387,0.4803,,,
word,0.9,0.6,0.6,0.1284,0.2841,0.0698,0.8011,,,0.1032,,
iou,0.9,0.5,0.5,0.1281,0.2832,0.0697,0.7902,,,0.1055,0.0571,34.37
iou_word_sep,0.9,0.5,0.5,0.1281,0.2832,0.0697,0.7902,,,0.1055,0.0561,
window,0.9,0.5,0.5,0.1281,0.2832,0.0697,0.7902,0.4056,0.4961,,,
word,0.9,0.5,0.5,0.1281,0.2832,0.0697,0.7902,,,0.1055,,
iou,0.9,0.55,0.55,0.1273,0.2859,0.0691,0.8028,,,0.1024,0.0564,35.68
iou_word_sep,0.9,0.55,0.55,0.1273,0.2859,0.0691,0.8028,,,0.1024,0.0564,
window,0.9,0.55,0.55,0.1273,0.2859,0.0691,0.8028,0.4072,0.4957,,,
word,0.9,0.55,0.55,0.1273,0.2859,0.0691,0.8028,,,0.1024,,
iou,0.9,40.0%,0.4,0.1272,0.282,0.0691,0.8036,,,0.1078,0.0553,38.42
iou_word_sep,0.9,40.0%,0.4,0.1272,0.282,0.0691,0.8036,,,0.1078,0.0581,
window,0.9,40.0%,0.4,0.1272,0.282,0.0691,0.8036,0.4079,0.493,,,
word,0.9,40.0%,0.4,0.1272,0.282,0.0691,0.8036,,,0.1078,,
iou,0.9,20.0%,0.2,0.127,0.2841,0.069,0.7968,,,0.1045,0.0479,45.88
iou_word_sep,0.9,20.0%,0.2,0.127,0.2841,0.069,0.7968,,,0.1045,0.0517,
window,0.9,20.0%,0.2,0.127,0.2841,0.069,0.7968,0.3892,0.4795,,,
word,0.9,20.0%,0.2,0.127,0.2841,0.069,0.7968,,,0.1045,,
iou,0.9,0.65,0.65,0.1268,0.2861,0.069,0.7743,,,0.1069,0.061,32.69
iou_word_sep,0.9,0.65,0.65,0.1268,0.2861,0.069,0.7743,,,0.1069,0.0599,
window,0.9,0.65,0.65,0.1268,0.2861,0.069,0.7743,0.3984,0.4936,,,
word,0.9,0.65,0.65,0.1268,0.2861,0.069,0.7743,,,0.1069,,
iou,0.9,0.45,0.45,0.1267,0.282,0.0688,0.7997,,,0.0971,0.058,33.95
iou,0.9,50.0%,0.5,0.1267,0.282,0.0688,0.7997,,,0.0971,0.058,33.95
iou_word_sep,0.9,0.45,0.45,0.1267,0.282,0.0688,0.7997,,,0.0971,0.0556,
iou_word_sep,0.9,50.0%,0.5,0.1267,0.282,0.0688,0.7997,,,0.0971,0.0556,
window,0.9,0.45,0.45,0.1267,0.282,0.0688,0.7997,0.3971,0.4903,,,
window,0.9,50.0%,0.5,0.1267,0.282,0.0688,0.7997,0.3971,0.4903,,,
word,0.9,0.45,0.45,0.1267,0.282,0.0688,0.7997,,,0.0971,,
word,0.9,50.0%,0.5,0.1267,0.282,0.0688,0.7997,,,0.0971,,
iou,0.9,10.0%,0.1,0.1262,0.2836,0.0685,0.7949,,,0.1032,0.0374,58.95
iou_word_sep,0.9,10.0%,0.1,0.1262,0.2836,0.0685,0.7949,,,0.1032,0.0436,
window,0.9,10.0%,0.1,0.1262,0.2836,0.0685,0.7949,0.3964,0.487,,,
word,0.9,10.0%,0.1,0.1262,0.2836,0.0685,0.7949,,,0.1032,,
iou,0.9,80.0%,0.8,0.1261,0.2776,0.0685,0.796,,,0.1102,0.0609,32.08
iou_word_sep,0.9,80.0%,0.8,0.1261,0.2776,0.0685,0.796,,,0.1102,0.0615,
window,0.9,80.0%,0.8,0.1261,0.2776,0.0685,0.796,0.4023,0.4901,,,
word,0.9,80.0%,0.8,0.1261,0.2776,0.0685,0.796,,,0.1102,,
iou,0.9,60.0%,0.6,0.1255,0.2874,0.0682,0.7891,,,0.0998,0.0579,34.02
iou_word_sep,0.9,60.0%,0.6,0.1255,0.2874,0.0682,0.7891,,,0.0998,0.0579,
window,0.9,60.0%,0.6,0.1255,0.2874,0.0682,0.7891,0.3976,0.4828,,,
word,0.9,60.0%,0.6,0.1255,0.2874,0.0682,0.7891,,,0.0998,,
iou,0.9,30.0%,0.3,0.1254,0.2857,0.0681,0.7961,,,0.1105,0.0469,38.69
iou_word_sep,0.9,30.0%,0.3,0.1254,0.2857,0.0681,0.7961,,,0.1105,0.0544,
window,0.9,30.0%,0.3,0.1254,0.2857,0.0681,0.7961,0.4021,0.4909,,,
word,0.9,30.0%,0.3,0.1254,0.2857,0.0681,0.7961,,,0.1105,,
iou,0.9,0.7,0.7,0.1249,0.2799,0.0679,0.7725,,,0.1104,0.0566,30.61
iou_word_sep,0.9,0.7,0.7,0.1249,0.2799,0.0679,0.7725,,,0.1104,0.0566,
window,0.9,0.7,0.7,0.1249,0.2799,0.0679,0.7725,0.3912,0.4667,,,
word,0.9,0.7,0.7,0.1249,0.2799,0.0679,0.7725,,,0.1104,,
iou,0.9,70.0%,0.7,0.1246,0.2851,0.0676,0.7968,,,0.1077,0.0565,32.86
iou_word_sep,0.9,70.0%,0.7,0.1246,0.2851,0.0676,0.7968,,,0.1077,0.0554,
window,0.9,70.0%,0.7,0.1246,0.2851,0.0676,0.7968,0.3855,0.4874,,,
word,0.9,70.0%,0.7,0.1246,0.2851,0.0676,0.7968,,,0.1077,,
iou,0.9,0.75,0.75,0.1245,0.2794,0.0676,0.7827,,,0.1088,0.0559,28.06
iou_word_sep,0.9,0.75,0.75,0.1245,0.2794,0.0676,0.7827,,,0.1088,,
window,0.9,0.75,0.75,0.1245,0.2794,0.0676,0.7827,0.3632,0.4567,,,
word,0.9,0.75,0.75,0.1245,0.2794,0.0676,0.7827,,,0.1088,,
iou,0.9,0.8,0.8,0.1239,0.2808,0.0673,0.7761,,,0.1135,0.0618,28.06
iou_word_sep,0.9,0.8,0.8,0.1239,0.2808,0.0673,0.7761,,,0.1135,0.0618,
window,0.9,0.8,0.8,0.1239,0.2808,0.0673,0.7761,0.4065,0.5064,,,
word,0.9,0.8,0.8,0.1239,0.2808,0.0673,0.7761,,,0.1135,,
iou,0.9,0.85,0.85,0.1231,0.2839,0.0668,0.7859,,,0.1178,0.0626,27.75
iou_word_sep,0.9,0.85,0.85,0.1231,0.2839,0.0668,0.7859,,,0.1178,0.0626,
window,0.9,0.85,0.85,0.1231,0.2839,0.0668,0.7859,0.3713,0.4793,,,
word,0.9,0.85,0.85,0.1231,0.2839,0.0668,0.7859,,,0.1178,,
iou,0.9,90.0%,0.9,0.1223,0.2843,0.0663,0.7844,,,0.1124,0.062,28.21
iou_word_sep,0.9,90.0%,0.9,0.1223,0.2843,0.0663,0.7844,,,0.1124,0.0632,
window,0.9,90.0%,0.9,0.1223,0.2843,0.0663,0.7844,0.4038,0.4868,,,
word,0.9,90.0%,0.9,0.1223,0.2843,0.0663,0.7844,,,0.1124,,
iou,1.0,1.0,1.0,0.1408,0.2987,0.0772,0.7944,,,0.0853,0.0655,24.29
iou,1.0,100.0%,1.0,0.1408,0.2987,0.0772,0.7944,,,0.0853,0.0655,24.29
iou_word_sep,1.0,1.0,1.0,0.1408,0.2987,0.0772,0.7944,,,0.0853,0.0648,
iou_word_sep,1.0,100.0%,1.0,0.1408,0.2987,0.0772,0.7944,,,0.0853,0.0648,
window,1.0,1.0,1.0,0.1408,0.2987,0.0772,0.7944,0.3517,0.4539,,,
window,1.0,100.0%,1.0,0.1408,0.2987,0.0772,0.7944,0.3517,0.4539,,,
word,1.0,1.0,1.0,0.1408,0.2987,0.0772,0.7944,,,0.0853,,
word,1.0,100.0%,1.0,0.1408,0.2987,0.0772,0.7944,,,0.0853,,
iou,1.0,0.6,0.6,0.1398,0.3088,0.0768,0.7833,,,0.1117,0.0631,34.27
iou,1.0,0.75,0.75,0.1398,0.3017,0.0767,0.7827,,,0.1129,0.065,31.03
iou,1.0,60.0%,0.6,0.1398,0.3088,0.0768,0.7833,,,0.1117,0.0631,34.27
iou_word_sep,1.0,0.6,0.6,0.1398,0.3088,0.0768,0.7833,,,0.1117,0.0615,
iou_word_sep,1.0,0.75,0.75,0.1398,0.3017,0.0767,0.7827,,,0.1129,0.0656,
iou_word_sep,1.0,60.0%,0.6,0.1398,0.3088,0.0768,0.7833,,,0.1117,0.0615,
window,1.0,0.6,0.6,0.1398,0.3088,0.0768,0.7833,0.3847,0.4858,,,
window,1.0,0.75,0.75,0.1398,0.3017,0.0767,0.7827,0.3783,0.4771,,,
window,1.0,60.0%,0.6,0.1398,0.3088,0.0768,0.7833,0.3847,0.4858,,,
word,1.0,0.6,0.6,0.1398,0.3088,0.0768,0.7833,,,0.1117,,
word,1.0,0.75,0.75,0.1398,0.3017,0.0767,0.7827,,,0.1129,,
word,1.0,60.0%,0.6,0.1398,0.3088,0.0768,0.7833,,,0.1117,,
iou,1.0,0.7,0.7,0.1391,0.3108,0.0765,0.7677,,,0.1184,0.0686,33.91
iou,1.0,70.0%,0.7,0.1391,0.3108,0.0765,0.7677,,,0.1184,0.0686,33.91
iou_word_sep,1.0,0.7,0.7,0.1391,0.3108,0.0765,0.7677,,,0.1184,0.0686,
iou_word_sep,1.0,70.0%,0.7,0.1391,0.3108,0.0765,0.7677,,,0.1184,0.0686,
window,1.0,0.7,0.7,0.1391,0.3108,0.0765,0.7677,0.4122,0.5,,,
window,1.0,70.0%,0.7,0.1391,0.3108,0.0765,0.7677,0.4122,0.5,,,
word,1.0,0.7,0.7,0.1391,0.3108,0.0765,0.7677,,,0.1184,,
word,1.0,70.0%,0.7,0.1391,0.3108,0.0765,0.7677,,,0.1184,,
iou,1.0,0.65,0.65,0.1385,0.3024,0.0761,0.7733,,,0.1082,0.0585,31.87
iou_word_sep,1.0,0.65,0.65,0.1385,0.3024,0.0761,0.7733,,,0.1082,0.0563,
window,1.0,0.65,0.65,0.1385,0.3024,0.0761,0.7733,0.3759,0.4704,,,
word,1.0,0.65,0.65,0.1385,0.3024,0.0761,0.7733,,,0.1082,,
iou,1.0,20.0%,0.2,0.1381,0.3046,0.0758,0.7781,,,0.1108,0.0507,45.97
iou_word_sep,1.0,20.0%,0.2,0.1381,0.3046,0.0758,0.7781,,,0.1108,0.0528,
window,1.0,20.0%,0.2,0.1381,0.3046,0.0758,0.7781,0.392,0.4883,,,
word,1.0,20.0%,0.2,0.1381,0.3046,0.0758,0.7781,,,0.1108,,
iou,1.0,10.0%,0.1,0.1376,0.3057,0.0755,0.7747,,,0.1098,0.0386,57.31
iou_word_sep,1.0,10.0%,0.1,0.1376,0.3057,0.0755,0.7747,,,0.1098,0.0432,
window,1.0,10.0%,0.1,0.1376,0.3057,0.0755,0.7747,0.3895,0.483,,,
word,1.0,10.0%,0.1,0.1376,0.3057,0.0755,0.7747,,,0.1098,,
iou,1.0,0.95,0.95,0.1373,0.3092,0.0753,0.7781,,,0.1248,0.07,29.57
iou_word_sep,1.0,0.95,0.95,0.1373,0.3092,0.0753,0.7781,,,0.1248,0.0708,
window,1.0,0.95,0.95,0.1373,0.3092,0.0753,0.7781,0.4173,0.5176,,,
word,1.0,0.95,0.95,0.1373,0.3092,0.0753,0.7781,,,0.1248,,
iou,1.0,0.8,0.8,0.1371,0.3023,0.0753,0.7675,,,0.1162,0.0626,28.65
iou,1.0,80.0%,0.8,0.1371,0.3023,0.0753,0.7675,,,0.1162,0.0626,28.65
iou_word_sep,1.0,0.8,0.8,0.1371,0.3023,0.0753,0.7675,,,0.1162,0.0646,
iou_word_sep,1.0,80.0%,0.8,0.1371,0.3023,0.0753,0.7675,,,0.1162,0.0646,
window,1.0,0.8,0.8,0.1371,0.3023,0.0753,0.7675,0.3948,0.4853,,,
window,1.0,80.0%,0.8,0.1371,0.3023,0.0753,0.7675,0.3948,0.4853,,,
word,1.0,0.8,0.8,0.1371,0.3023,0.0753,0.7675,,,0.1162,,
word,1.0,80.0%,0.8,0.1371,0.3023,0.0753,0.7675,,,0.1162,,
iou,1.0,40.0%,0.4,0.137,0.3055,0.0752,0.7644,,,0.1156,0.0512,35.11
iou_word_sep,1.0,40.0%,0.4,0.137,0.3055,0.0752,0.7644,,,0.1156,0.053,
window,1.0,40.0%,0.4,0.137,0.3055,0.0752,0.7644,0.3846,0.4696,,,
word,1.0,40.0%,0.4,0.137,0.3055,0.0752,0.7644,,,0.1156,,
iou,1.0,0.5,0.5,0.1369,0.2985,0.0751,0.7764,,,0.1073,0.0604,33.24
iou,1.0,30.0%,0.3,0.1369,0.308,0.0751,0.7758,,,0.1159,0.05,37.69
iou,1.0,50.0%,0.5,0.1369,0.2985,0.0751,0.7764,,,0.1073,0.0604,33.24
iou_word_sep,1.0,0.5,0.5,0.1369,0.2985,0.0751,0.7764,,,0.1073,0.0573,
iou_word_sep,1.0,30.0%,0.3,0.1369,0.308,0.0751,0.7758,,,0.1159,0.0562,
iou_word_sep,1.0,50.0%,0.5,0.1369,0.2985,0.0751,0.7764,,,0.1073,0.0573,
window,1.0,0.5,0.5,0.1369,0.2985,0.0751,0.7764,0.3782,0.4734,,,
window,1.0,30.0%,0.3,0.1369,0.308,0.0751,0.7758,0.3774,0.4777,,,
window,1.0,50.0%,0.5,0.1369,0.2985,0.0751,0.7764,0.3782,0.4734,,,
word,1.0,0.5,0.5,0.1369,0.2985,0.0751,0.7764,,,0.1073,,
word,1.0,30.0%,0.3,0.1369,0.308,0.0751,0.7758,,,0.1159,,
word,1.0,50.0%,0.5,0.1369,0.2985,0.0751,0.7764,,,0.1073,,
iou,1.0,0.55,0.55,0.1357,0.3066,0.0744,0.7662,,,0.1135,0.0523,31.63
iou_word_sep,1.0,0.55,0.55,0.1357,0.3066,0.0744,0.7662,,,0.1135,0.0474,
window,1.0,0.55,0.55,0.1357,0.3066,0.0744,0.7662,0.3726,0.4619,,,
word,1.0,0.55,0.55,0.1357,0.3066,0.0744,0.7662,,,0.1135,,
iou,1.0,0.9,0.9,0.1349,0.3106,0.074,0.769,,,0.1246,0.0686,29.21
iou,1.0,90.0%,0.9,0.1349,0.3106,0.074,0.769,,,0.1246,0.0686,29.21
iou_word_sep,1.0,0.9,0.9,0.1349,0.3106,0.074,0.769,,,0.1246,0.0701,
iou_word_sep,1.0,90.0%,0.9,0.1349,0.3106,0.074,0.769,,,0.1246,0.0701,
window,1.0,0.9,0.9,0.1349,0.3106,0.074,0.769,0.394,0.5017,,,
window,1.0,90.0%,0.9,0.1349,0.3106,0.074,0.769,0.394,0.5017,,,
word,1.0,0.9,0.9,0.1349,0.3106,0.074,0.769,,,0.1246,,
word,1.0,90.0%,0.9,0.1349,0.3106,0.074,0.769,,,0.1246,,
iou,1.0,0.85,0.85,0.1333,0.3038,0.0729,0.7744,,,0.1236,0.0659,30.88
