,,window_f1,window_f1,window_f1,word_f1,word_f1,word_f1,combined_iou,combined_iou,combined_iou,eval_type
,,mean,std,count,mean,std,count,mean,std,count,<lambda>
window_numeric,stride_percentage,,,,,,,,,,
0.8,20.0,0.1728,,1,0.8597,,1,0.0844,,1,['eval_percent']
0.8,30.0,0.1744,,1,0.8315,,1,0.089,,1,['eval_percent']
0.8,40.0,0.1714,,1,0.7904,,1,0.0872,,1,['eval_percent']
0.8,50.0,0.1739,0.0,2,0.7627,0.0,2,0.088,0.0,2,"['eval_by_0.05', 'eval_percent']"
0.8,56.25,0.1685,,1,0.74,,1,0.0896,,1,['eval_by_0.05']
0.8,60.0,0.1758,,1,0.7208,,1,0.0885,,1,['eval_percent']
0.8,62.5,0.1838,,1,0.7379,,1,0.096,,1,['eval_by_0.05']
0.8,68.75,0.1793,,1,0.7077,,1,0.0898,,1,['eval_by_0.05']
0.8,70.0,0.1704,,1,0.692,,1,0.09,,1,['eval_percent']
0.8,74.99999999999999,0.1694,,1,0.6572,,1,0.084,,1,['eval_by_0.05']
0.8,80.0,0.1632,,1,0.65,,1,0.084,,1,['eval_percent']
0.8,81.25,0.1587,,1,0.6403,,1,0.0831,,1,['eval_by_0.05']
0.8,87.49999999999999,0.1661,,1,0.6329,,1,0.0819,,1,['eval_by_0.05']
0.8,90.0,0.1726,,1,0.6403,,1,0.0807,,1,['eval_percent']
0.8,93.75,0.1645,,1,0.6,,1,0.0771,,1,['eval_by_0.05']
0.8,100.0,0.17,0.0,2,0.5922,0.0,2,0.0771,0.0,2,"['eval_by_0.05', 'eval_percent']"
0.9,10.0,0.186,,1,0.858,,1,0.0678,,1,['eval_percent']
0.9,20.0,0.1829,,1,0.8094,,1,0.0702,,1,['eval_percent']
0.9,30.0,0.1818,,1,0.7826,,1,0.0744,,1,['eval_percent']
0.9,40.0,0.1877,,1,0.7442,,1,0.0735,,1,['eval_percent']
0.9,50.0,0.1834,0.0,2,0.7208,0.0,2,0.0741,0.0,2,"['eval_by_0.05', 'eval_percent']"
0.9,55.55555555555556,0.1955,,1,0.7208,,1,0.078,,1,['eval_by_0.05']
0.9,60.0,0.1821,,1,0.6737,,1,0.0737,,1,['eval_percent']
