,,window_f1,window_f1,window_f1,word_f1,word_f1,word_f1,combined_iou,combined_iou,combined_iou,eval_type
,,mean,std,count,mean,std,count,mean,std,count,<lambda>
window_numeric,stride_percentage,,,,,,,,,,
1.8,80.0,0.1955,,1,0.3881,,1,0.0238,,1,['eval_percent']
1.8,80.55555555555554,0.1925,,1,0.3565,,1,0.0217,,1,['eval_by_0.05']
1.8,83.33333333333333,0.1806,,1,0.3636,,1,0.0253,,1,['eval_by_0.05']
1.8,86.11111111111111,0.1743,,1,0.3457,,1,0.0225,,1,['eval_by_0.05']
1.8,88.8888888888889,0.173,,1,0.3274,,1,0.0218,,1,['eval_by_0.05']
1.8,90.0,0.1885,,1,0.3493,,1,0.023,,1,['eval_percent']
1.8,91.66666666666666,0.1976,,1,0.3457,,1,0.0222,,1,['eval_by_0.05']
1.8,94.44444444444444,0.1622,,1,0.2935,,1,0.0208,,1,['eval_by_0.05']
1.8,97.22222222222221,0.1766,,1,0.3163,,1,0.0224,,1,['eval_by_0.05']
1.8,100.0,0.1905,0.0,2,0.3274,0.0,2,0.023,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.9,10.0,0.1785,,1,0.6052,,1,0.0286,,1,['eval_percent']
1.9,20.0,0.1795,,1,0.5405,,1,0.0272,,1,['eval_percent']
1.9,30.0,0.1803,,1,0.491,,1,0.0263,,1,['eval_percent']
1.9,40.0,0.1761,,1,0.454,,1,0.0242,,1,['eval_percent']
1.9,50.0,0.1726,0.0,2,0.4084,0.0,2,0.0218,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.9,52.63157894736842,0.1685,,1,0.3812,,1,0.0223,,1,['eval_by_0.05']
1.9,55.26315789473685,0.173,,1,0.4151,,1,0.0235,,1,['eval_by_0.05']
1.9,57.89473684210527,0.1684,,1,0.3812,,1,0.0225,,1,['eval_by_0.05']
1.9,60.0,0.1985,,1,0.4118,,1,0.0223,,1,['eval_percent']
1.9,60.526315789473685,0.1793,,1,0.3707,,1,0.0204,,1,['eval_by_0.05']
1.9,63.1578947368421,0.1756,,1,0.3742,,1,0.022,,1,['eval_by_0.05']
1.9,65.78947368421053,0.1765,,1,0.3881,,1,0.0243,,1,['eval_by_0.05']
1.9,68.42105263157895,0.1778,,1,0.3672,,1,0.0237,,1,['eval_by_0.05']
1.9,70.0,0.2002,,1,0.3983,,1,0.0247,,1,['eval_percent']
1.9,71.05263157894738,0.1855,,1,0.3742,,1,0.0224,,1,['eval_by_0.05']
1.9,73.68421052631578,0.1571,,1,0.3049,,1,0.0172,,1,['eval_by_0.05']
1.9,76.31578947368422,0.1628,,1,0.2973,,1,0.0182,,1,['eval_by_0.05']
1.9,78.94736842105263,0.1711,,1,0.3421,,1,0.0222,,1,['eval_by_0.05']
1.9,80.0,0.1757,,1,0.3565,,1,0.0217,,1,['eval_percent']
1.9,81.57894736842107,0.1718,,1,0.3348,,1,0.0217,,1,['eval_by_0.05']
1.9,84.21052631578948,0.1674,,1,0.3125,,1,0.0205,,1,['eval_by_0.05']
1.9,86.8421052631579,0.197,,1,0.3529,,1,0.0209,,1,['eval_by_0.05']
1.9,89.47368421052632,0.1438,,1,0.2621,,1,0.0174,,1,['eval_by_0.05']
1.9,90.0,0.1847,,1,0.3311,,1,0.0219,,1,['eval_percent']
1.9,92.10526315789474,0.1664,,1,0.2896,,1,0.0201,,1,['eval_by_0.05']
1.9,94.73684210526316,0.172,,1,0.2857,,1,0.0192,,1,['eval_by_0.05']
1.9,97.36842105263159,0.2003,,1,0.3348,,1,0.0215,,1,['eval_by_0.05']
1.9,100.0,0.1761,0.0,2,0.2896,0.0,2,0.0185,0.0,2,"['eval_by_0.05', 'eval_percent']"
2.0,10.0,0.1778,,1,0.5545,,1,0.0241,,1,['eval_percent']
2.0,20.0,0.1782,,1,0.5059,,1,0.0233,,1,['eval_percent']
2.0,30.0,0.1788,,1,0.4789,,1,0.024,,1,['eval_percent']
2.0,40.0,0.1655,,1,0.425,,1,0.0222,,1,['eval_percent']
2.0,50.0,0.1742,0.0,2,0.4017,0.0,2,0.0213,0.0,2,"['eval_by_0.05', 'eval_percent']"
2.0,52.5,0.1663,,1,0.3949,,1,0.0221,,1,['eval_by_0.05']
2.0,55.00000000000001,0.1658,,1,0.3881,,1,0.0212,,1,['eval_by_0.05']
2.0,57.49999999999999,0.1802,,1,0.3672,,1,0.0196,,1,['eval_by_0.05']
2.0,60.0,0.1751,0.0,2,0.3636,0.0,2,0.021,0.0,2,"['eval_by_0.05', 'eval_percent']"
2.0,62.5,0.1745,,1,0.3672,,1,0.0215,,1,['eval_by_0.05']
2.0,65.0,0.1701,,1,0.3529,,1,0.02,,1,['eval_by_0.05']
2.0,67.5,0.1816,,1,0.3493,,1,0.0193,,1,['eval_by_0.05']
2.0,70.0,0.1641,0.0,2,0.3237,0.0,2,0.0174,0.0,2,"['eval_by_0.05', 'eval_percent']"
2.0,72.5,0.1589,,1,0.3125,,1,0.0182,,1,['eval_by_0.05']
2.0,75.0,0.1689,,1,0.32,,1,0.0204,,1,['eval_by_0.05']
2.0,77.5,0.1594,,1,0.3049,,1,0.0182,,1,['eval_by_0.05']
2.0,80.0,0.1627,0.0,2,0.3049,0.0,2,0.0188,0.0,2,"['eval_by_0.05', 'eval_percent']"
2.0,82.5,0.1851,,1,0.3457,,1,0.0186,,1,['eval_by_0.05']
2.0,85.0,0.1746,,1,0.2896,,1,0.0178,,1,['eval_by_0.05']
2.0,87.5,0.1576,,1,0.2857,,1,0.018,,1,['eval_by_0.05']
2.0,90.0,0.1723,0.0,2,0.2857,0.0,2,0.0182,0.0,2,"['eval_by_0.05', 'eval_percent']"
2.0,92.5,0.1929,,1,0.3237,,1,0.0191,,1,['eval_by_0.05']
2.0,95.0,0.1664,,1,0.2661,,1,0.0163,,1,['eval_by_0.05']
2.0,97.5,0.1664,,1,0.2779,,1,0.0173,,1,['eval_by_0.05']
2.0,100.0,0.2245,0.0942,3,0.1887,0.1408,3,0.0116,0.0091,3,"['eval_by_0.05', 'eval_percent']"
