eval_type,window_size,stride_name,word_binary_f1,word_multiclass_f1,word_gt_count,word_pred_count,vad_binary_f1,vad_multiclass_f1,vad_combined_iou,vad_duration,f1_difference,f1_percent_change
eval_percent,0.6,stride_30.0%,0.9043,0.7449,378,3373,0.399,0.341,0.2465,43.48723840713501,-0.5053,-55.87747428950569
eval_percent,0.6,stride_40.0%,0.885,0.7375,378,3108,0.383,0.322,0.2666,39.430541038513184,-0.502,-56.72316384180791
eval_percent,0.6,stride_50.0%,0.8614,0.7229,378,2726,0.39,0.333,0.2599,36.32721424102783,-0.47140000000000004,-54.724866496401205
eval_percent,0.6,stride_60.0%,0.8405,0.6933,378,2635,0.399,0.345,0.2612,34.81615209579468,-0.4415,-52.52825698988697
eval_percent,0.6,stride_70.0%,0.8113,0.6887,378,2365,0.369,0.325,0.2591,32.10208749771118,-0.4423,-54.517441143843214
eval_percent,0.6,stride_80.0%,0.7566,0.6382,378,2185,0.357,0.31,0.286,29.639380931854248,-0.39960000000000007,-52.815226011102304
eval_percent,0.6,stride_90.0%,0.7442,0.6379,378,1968,0.375,0.329,0.2927,27.953145027160645,-0.3692,-49.610319806503625
eval_percent,0.7,stride_10.0%,0.9307,0.7553,378,3336,0.389,0.307,0.2072,49.08790612220764,-0.5417,-58.203502739873215
eval_percent,0.7,stride_100.0%,0.6279,0.5445,378,1359,0.336,0.3,0.2665,23.066872119903564,-0.2919,-46.48829431438127
eval_percent,0.7,stride_20.0%,0.9012,0.7529,378,2935,0.384,0.317,0.2215,43.338680028915405,-0.5172,-57.39014647137151
eval_percent,0.7,stride_30.0%,0.8817,0.7456,378,2650,0.396,0.331,0.2356,38.341532945632935,-0.4857,-55.08676420551208
eval_percent,0.7,stride_40.0%,0.8387,0.7005,378,2404,0.389,0.332,0.262,34.43311619758606,-0.4497,-53.618695600333844
eval_percent,0.7,stride_50.0%,0.8132,0.6907,378,2089,0.375,0.326,0.2467,31.877422332763672,-0.43820000000000003,-53.88588293162814
eval_percent,0.7,stride_60.0%,0.7846,0.6785,378,2028,0.362,0.319,0.262,30.280654191970825,-0.4226,-53.86184042824369
eval_percent,0.7,stride_70.0%,0.7647,0.6438,378,1823,0.382,0.326,0.2863,28.92732882499695,-0.38270000000000004,-50.04576958284295
eval_percent,0.7,stride_80.0%,0.692,0.5917,378,1652,0.356,0.312,0.269,26.705838918685917,-0.33599999999999997,-48.554913294797686
eval_percent,0.7,stride_90.0%,0.7121,0.6133,378,1523,0.365,0.322,0.2789,25.00332736968994,-0.34709999999999996,-48.743154051397276
eval_percent,0.8,stride_10.0%,0.898,0.7318,378,2604,0.393,0.32,0.1986,42.7853901386261,-0.505,-56.23608017817372
eval_percent,0.8,stride_100.0%,0.5922,0.4991,378,1117,0.354,0.311,0.2788,20.910234689712524,-0.23819999999999997,-40.22289766970618
eval_percent,0.8,stride_20.0%,0.8597,0.7029,378,2327,0.382,0.314,0.2046,37.189518213272095,-0.4777,-55.56589507967896
eval_percent,0.8,stride_30.0%,0.8315,0.6862,378,2040,0.383,0.32,0.2227,32.21855568885803,-0.4485,-53.9386650631389
eval_percent,0.8,stride_40.0%,0.7904,0.6528,378,1919,0.369,0.309,0.2218,30.561378479003903,-0.4214,-53.314777327935225
eval_percent,0.8,stride_50.0%,0.7627,0.635,378,1651,0.367,0.316,0.2275,27.24192452430725,-0.39570000000000005,-51.8814737118133
eval_percent,0.8,stride_60.0%,0.7208,0.6058,378,1545,0.372,0.321,0.2619,25.558921098709103,-0.3488,-48.39067702552719
eval_percent,0.8,stride_70.0%,0.692,0.5744,378,1419,0.366,0.311,0.2484,24.03758335113525,-0.32599999999999996,-47.10982658959537
eval_percent,0.8,stride_80.0%,0.65,0.5571,378,1288,0.351,0.307,0.2642,22.72180557250977,-0.29900000000000004,-46.00000000000001
eval_percent,0.8,stride_90.0%,0.6403,0.536,378,1169,0.378,0.328,0.2372,21.16293716430664,-0.2623,-40.965172575355304
eval_percent,0.9,stride_10.0%,0.858,0.6767,378,2128,0.388,0.309,0.1924,35.98507261276245,-0.47,-54.77855477855478
eval_percent,0.9,stride_100.0%,0.5655,0.4592,378,893,0.369,0.319,0.2444,19.145248889923096,-0.1965,-34.748010610079575
eval_percent,0.9,stride_20.0%,0.8094,0.6614,378,1843,0.388,0.324,0.2129,31.43550539016724,-0.4214,-52.06325673338276
eval_percent,0.9,stride_30.0%,0.7826,0.6216,378,1703,0.375,0.306,0.2085,30.32723903656006,-0.40759999999999996,-52.08280092001022
eval_percent,0.9,stride_40.0%,0.7442,0.6179,378,1479,0.369,0.311,0.2229,28.0321261882782,-0.3752,-50.41655468959957
eval_percent,0.9,stride_50.0%,0.7208,0.6058,378,1341,0.385,0.331,0.2236,25.96992373466492,-0.3358,-46.587125416204216
eval_percent,0.9,stride_60.0%,0.6737,0.5474,378,1267,0.372,0.313,0.2519,24.472350597381592,-0.30169999999999997,-44.782544159121265
eval_percent,0.9,stride_70.0%,0.6279,0.5662,378,1169,0.354,0.324,0.2504,21.72670197486877,-0.27390000000000003,-43.621595795508846
eval_percent,0.9,stride_80.0%,0.6077,0.512,378,1037,0.354,0.303,0.2296,19.860398292541504,-0.25370000000000004,-41.747572815533985
eval_percent,0.9,stride_90.0%,0.5736,0.4943,378,953,0.331,0.293,0.259,19.0852689743042,-0.24259999999999998,-42.29428172942817
eval_percent,1.0,stride_10.0%,0.8333,0.6327,378,1809,0.379,0.298,0.2045,30.025609970092773,-0.45430000000000004,-54.518180727229094
eval_percent,1.0,stride_100.0%,0.5377,0.441,378,696,0.349,0.299,0.2258,15.938819885253906,-0.18869999999999998,-35.09391854193788
eval_percent,1.0,stride_20.0%,0.7962,0.6115,378,1538,0.376,0.302,0.2153,25.84021019935608,-0.4202,-52.77568450138156
eval_percent,1.0,stride_30.0%,0.7442,0.5914,378,1369,0.379,0.314,0.2005,23.153897523880005,-0.36519999999999997,-49.07282988443967
eval_percent,1.0,stride_40.0%,0.7273,0.5657,378,1249,0.375,0.305,0.197,22.35800552368164,-0.35229999999999995,-48.43943352124295
eval_percent,1.0,stride_50.0%,0.669,0.5599,378,1083,0.369,0.318,0.222,22.58949303627014,-0.30000000000000004,-44.843049327354265
eval_percent,1.0,stride_60.0%,0.6596,0.5284,378,1030,0.371,0.312,0.2024,22.072354793548584,-0.28859999999999997,-43.75379017586416
eval_percent,1.0,stride_70.0%,0.6179,0.5009,378,953,0.361,0.304,0.2775,21.3953857421875,-0.2569,-41.576306845767924
eval_percent,1.0,stride_80.0%,0.5709,0.4802,378,878,0.344,0.296,0.2392,20.49633502960205,-0.2269,-39.74426344368541
eval_percent,1.0,stride_90.0%,0.5377,0.4565,378,775,0.342,0.301,0.2333,17.91798186302185,-0.19569999999999993,-36.395759717314476
eval_percent,1.1,stride_10.0%,0.8,0.5905,378,1542,0.393,0.308,0.1971,29.40686178207397,-0.40700000000000003,-50.875
eval_percent,1.1,stride_100.0%,0.488,0.392,378,597,0.351,0.303,0.2821,15.80145502090454,-0.137,-28.07377049180328
eval_percent,1.1,stride_20.0%,0.7566,0.5559,378,1292,0.382,0.299,0.2116,25.160088062286377,-0.37460000000000004,-49.51097012952683
eval_percent,1.1,stride_30.0%,0.7077,0.5538,378,1181,0.37,0.305,0.2169,23.07888960838318,-0.3377,-47.71795958739579
eval_percent,1.1,stride_40.0%,0.6737,0.4982,378,1055,0.379,0.302,0.2361,20.5348916053772,-0.29469999999999996,-43.74350601157785
eval_percent,1.1,stride_50.0%,0.6204,0.4964,378,888,0.375,0.319,0.2363,18.55149531364441,-0.24539999999999995,-39.555125725338485
eval_percent,1.1,stride_60.0%,0.6026,0.4547,378,860,0.362,0.294,0.1991,17.828349351882935,-0.24060000000000004,-39.92698307334883
eval_percent,1.1,stride_70.0%,0.5655,0.463,378,763,0.355,0.299,0.1815,17.007039785385132,-0.21050000000000002,-37.2236958443855
eval_percent,1.1,stride_80.0%,0.5405,0.4363,378,740,0.357,0.301,0.1702,16.761285066604614,-0.1835,-33.95004625346901
eval_percent,1.1,stride_90.0%,0.4444,0.3663,378,653,0.332,0.285,0.2097,17.1602942943573,-0.1124,-25.292529252925295
eval_percent,1.2,stride_10.0%,0.7727,0.5617,378,1293,0.402,0.309,0.1805,29.14288067817688,-0.37070000000000003,-47.97463439886114
eval_percent,1.2,stride_100.0%,0.454,0.3763,378,527,0.341,0.294,0.2023,16.498616933822632,-0.11299999999999999,-24.88986784140969
eval_percent,1.2,stride_20.0%,0.7033,0.5283,378,1107,0.379,0.304,0.1935,26.45142269134521,-0.32430000000000003,-46.11119010379639
eval_percent,1.2,stride_30.0%,0.6714,0.5167,378,974,0.376,0.301,0.1778,24.803969621658325,-0.2954,-43.99761691986893
eval_percent,1.2,stride_40.0%,0.6103,0.4853,378,891,0.371,0.311,0.212,22.97751760482788,-0.23929999999999996,-39.210224479764044
eval_percent,1.2,stride_50.0%,0.6,0.4778,378,792,0.366,0.304,0.2285,20.893275499343872,-0.23399999999999999,-39.0
eval_percent,1.2,stride_60.0%,0.5176,0.4275,378,747,0.351,0.302,0.2283,20.066956043243408,-0.16659999999999997,-32.18701700154559
eval_percent,1.2,stride_70.0%,0.5234,0.418,378,642,0.35,0.293,0.1745,18.118300914764404,-0.1734,-33.129537638517384
eval_percent,1.2,stride_80.0%,0.5059,0.415,378,623,0.369,0.315,0.1811,17.375089168548584,-0.13690000000000002,-27.060683929630365
eval_percent,1.2,stride_90.0%,0.4315,0.3485,378,543,0.341,0.296,0.1687,16.053818464279175,-0.09049999999999997,-20.973348783314012
eval_percent,1.3,stride_10.0%,0.7627,0.5401,378,1143,0.395,0.299,0.1628,25.813041925430294,-0.3677,-48.210305493641016
eval_percent,1.3,stride_100.0%,0.3983,0.3263,378,478,0.339,0.297,0.1963,14.947997331619264,-0.059299999999999964,-14.888275169470239
eval_percent,1.3,stride_20.0%,0.7099,0.5222,378,946,0.388,0.306,0.1785,21.321738243103027,-0.32189999999999996,-45.34441470629666
eval_percent,1.3,stride_30.0%,0.6452,0.5161,378,874,0.372,0.307,0.1801,19.708573818206787,-0.2732,-42.34345939243646
