,window_numeric,stride_numeric,stride_percentage,window_f1,word_f1,combined_iou
window_numeric,1.0,0.7446284911469245,0.09908457465986008,0.6086285206458547,-0.9011487161397838,-0.8874176722520879
stride_numeric,0.7446284911469245,1.0,0.6845160687999337,0.4418210374435561,-0.9172575711778718,-0.6761753095944684
stride_percentage,0.09908457465986008,0.6845160687999337,1.0,0.06989441407775637,-0.47588960730601393,-0.09928945091150995
window_f1,0.6086285206458547,0.4418210374435561,0.06989441407775637,1.0,-0.6399512305270605,-0.8416239561576385
word_f1,-0.9011487161397838,-0.9172575711778718,-0.47588960730601393,-0.6399512305270605,1.0,0.8702888429782941
combined_iou,-0.8874176722520879,-0.6761753095944684,-0.09928945091150995,-0.8416239561576385,0.8702888429782941,1.0
