eval_type,window_size,stride_value,stride_type,stride_label,success,error,duration,worker_id,combined_mean_iou,binary_f1,multiclass_f1
eval_by_0.05,1.4,0.85,absolute,0.85s,True,,152.88020730018616,4,10.61,0.36,0.36
eval_by_0.05,1.4,0.8,absolute,0.8s,True,,160.3569414615631,1,10.96,0.36,0.35
eval_by_0.05,1.4,0.7,absolute,0.7s,True,,172.1023988723755,3,7.05,0.37,0.36
eval_by_0.05,1.4,0.95,absolute,0.95s,True,,124.54928493499756,2,11.8,0.37,0.37
eval_by_0.05,1.4,1.05,absolute,1.05s,True,,125.0219955444336,4,9.82,0.37,0.36
eval_by_0.05,1.4,0.9,absolute,0.9s,True,,135.61940050125122,3,11.47,0.37,0.36
eval_by_0.05,1.4,1.0,absolute,1.0s,True,,126.82356524467468,1,12.86,0.37,0.36
eval_by_0.05,1.4,1.15,absolute,1.15s,True,,101.99528288841248,2,11.36,0.37,0.37
eval_by_0.05,1.4,1.25,absolute,1.25s,True,,106.23423600196838,4,12.53,0.37,0.37
eval_by_0.05,1.4,1.1,absolute,1.1s,True,,114.73971033096313,3,11.55,0.37,0.36
eval_by_0.05,1.4,1.2,absolute,1.2s,True,,109.23021841049194,1,8.9,0.37,0.36
eval_by_0.05,1.4,1.35,absolute,1.35s,True,,86.66969323158264,2,15.51,0.38,0.37
eval_by_0.05,1.4,1.3,absolute,1.3s,True,,92.04135513305664,3,13.76,0.38,0.37
eval_by_0.05,1.4,1.4,absolute,1.4s,True,,90.23831605911255,4,9.22,0.37,0.36
eval_percent,1.3,100.0,percentage,100.0%,True,,80.77592420578003,2,13.7,0.38,0.38
eval_percent,1.3,40.0,percentage,40.0%,True,,196.83142518997192,1,10.3,0.36,0.35
eval_percent,1.3,30.0,percentage,30.0%,True,,247.6782066822052,4,9.57,0.36,0.35
eval_percent,1.3,20.0,percentage,20.0%,True,,360.5093562602997,3,9.53,0.36,0.35
eval_percent,1.3,60.0,percentage,60.0%,True,,132.52659153938293,3,11.58,0.36,0.36
eval_percent,1.3,50.0,percentage,50.0%,True,,151.31189274787903,2,9.83,0.36,0.36
eval_percent,1.3,70.0,percentage,70.0%,True,,107.74147272109985,4,11.14,0.37,0.36
