eval_type,window_size,window_name,stride_info,stride_name,success,duration_seconds,worker_id,combined_iou,binary_f1,multiclass_f1
eval_by_0.05,1.0,window_1.0s,0.75s,stride_0.75s,True,17.9146089553833,3,0.2548,0.374,0.32
eval_by_0.05,1.0,window_1.0s,0.7s,stride_0.7s,True,18.68837308883667,4,0.2775,0.361,0.304
eval_by_0.05,1.0,window_1.0s,0.85s,stride_0.85s,True,19.69903874397278,1,0.2276,0.341,0.287
eval_by_0.05,1.0,window_1.0s,0.8s,stride_0.8s,True,20.186620235443115,2,0.2392,0.344,0.296
eval_by_0.05,1.0,window_1.0s,0.95s,stride_0.95s,True,18.62295365333557,3,0.2496,0.359,0.311
eval_by_0.05,1.0,window_1.0s,0.9s,stride_0.9s,True,19.24416947364807,4,0.2333,0.342,0.301
eval_by_0.05,1.0,window_1.0s,1.0s,stride_1.0s,True,17.283747911453247,1,0.2258,0.349,0.299
eval_by_0.05,1.1,window_1.1s,0.65s,stride_0.65s,True,19.88652539253235,3,0.2422,0.369,0.31
eval_by_0.05,1.1,window_1.1s,0.55s,stride_0.55s,True,20.51129126548767,2,0.2363,0.375,0.319
eval_by_0.05,1.1,window_1.1s,0.6s,stride_0.6s,True,19.170246839523315,4,0.2381,0.367,0.302
eval_by_0.05,1.1,window_1.1s,0.75s,stride_0.75s,True,17.090201139450073,1,0.2479,0.364,0.309
eval_by_0.05,1.1,window_1.1s,0.85s,stride_0.85s,True,16.91133689880371,3,0.2088,0.357,0.303
eval_by_0.05,1.1,window_1.1s,0.7s,stride_0.7s,True,18.00960373878479,2,0.2574,0.352,0.29
eval_by_0.05,1.1,window_1.1s,0.8s,stride_0.8s,True,17.218627452850342,4,0.2353,0.335,0.28
eval_by_0.05,1.1,window_1.1s,0.95s,stride_0.95s,True,16.01323366165161,1,0.1955,0.33,0.289
eval_by_0.05,1.1,window_1.1s,0.9s,stride_0.9s,True,17.053504943847656,2,0.2296,0.351,0.298
eval_by_0.05,1.1,window_1.1s,1.05s,stride_1.05s,True,16.526511430740356,3,0.2115,0.353,0.301
eval_by_0.05,1.1,window_1.1s,1.0s,stride_1.0s,True,15.66502571105957,4,0.2467,0.351,0.294
eval_by_0.05,1.1,window_1.1s,1.1s,stride_1.1s,True,15.814621686935425,1,0.2821,0.351,0.303
eval_by_0.05,1.2,window_1.2s,0.65s,stride_0.65s,True,18.119487047195435,2,0.1986,0.371,0.305
eval_by_0.05,1.2,window_1.2s,0.6s,stride_0.6s,True,18.625997304916382,3,0.2285,0.366,0.304
eval_by_0.05,1.2,window_1.2s,0.75s,stride_0.75s,True,17.683723211288452,4,0.2277,0.346,0.289
eval_by_0.05,1.2,window_1.2s,0.7s,stride_0.7s,True,20.17091703414917,1,0.3197,0.354,0.29
eval_by_0.05,1.2,window_1.2s,0.85s,stride_0.85s,True,19.457744598388672,2,0.1991,0.345,0.298
eval_by_0.05,1.2,window_1.2s,0.8s,stride_0.8s,True,19.480485200881958,3,0.2151,0.344,0.289
eval_by_0.05,1.2,window_1.2s,0.95s,stride_0.95s,True,18.50655508041382,4,0.1902,0.342,0.302
eval_by_0.05,1.2,window_1.2s,0.9s,stride_0.9s,True,16.509998559951782,1,0.2021,0.341,0.293
eval_by_0.05,1.2,window_1.2s,1.05s,stride_1.05s,True,15.29390287399292,2,0.2048,0.358,0.304
eval_by_0.05,1.2,window_1.2s,1.0s,stride_1.0s,True,15.218401670455933,3,0.2455,0.345,0.296
eval_by_0.05,1.2,window_1.2s,1.15s,stride_1.15s,True,14.830355405807495,4,0.2162,0.345,0.31
eval_by_0.05,1.2,window_1.2s,1.1s,stride_1.1s,True,14.093690872192383,1,0.2087,0.337,0.291
eval_by_0.05,1.2,window_1.2s,1.2s,stride_1.2s,True,14.15767526626587,2,0.2023,0.341,0.294
eval_by_0.05,1.3,window_1.3s,0.75s,stride_0.75s,True,16.22012734413147,4,0.2338,0.337,0.293
eval_by_0.05,1.3,window_1.3s,0.65s,stride_0.65s,True,17.121731758117676,3,0.1908,0.363,0.303
eval_by_0.05,1.3,window_1.3s,0.7s,stride_0.7s,True,17.1162748336792,1,0.2386,0.356,0.278
eval_by_0.05,1.3,window_1.3s,0.85s,stride_0.85s,True,16.655782461166382,2,0.2019,0.351,0.293
eval_by_0.05,1.3,window_1.3s,0.8s,stride_0.8s,True,16.731213331222534,3,0.1909,0.351,0.289
eval_by_0.05,1.3,window_1.3s,0.95s,stride_0.95s,True,16.221832990646362,4,0.1801,0.354,0.3
eval_by_0.05,1.3,window_1.3s,0.9s,stride_0.9s,True,15.886033058166504,1,0.1885,0.34,0.282
eval_by_0.05,1.3,window_1.3s,1.05s,stride_1.05s,True,15.248625993728638,2,0.1905,0.345,0.278
eval_by_0.05,1.3,window_1.3s,1.15s,stride_1.15s,True,15.977948665618896,4,0.1904,0.338,0.307
eval_by_0.05,1.3,window_1.3s,1.0s,stride_1.0s,True,16.561188459396362,3,0.189,0.343,0.294
eval_by_0.05,1.3,window_1.3s,1.1s,stride_1.1s,True,15.899080753326416,1,0.2076,0.336,0.287
eval_by_0.05,1.3,window_1.3s,1.25s,stride_1.25s,True,14.935004472732544,2,0.2672,0.34,0.29
eval_by_0.05,1.3,window_1.3s,1.2s,stride_1.2s,True,14.333927869796753,3,0.1897,0.324,0.274
eval_by_0.05,1.3,window_1.3s,1.3s,stride_1.3s,True,14.111693859100342,4,0.1963,0.339,0.297
eval_by_0.05,1.4,window_1.4s,0.75s,stride_0.75s,True,15.827109813690186,1,0.2168,0.35,0.303
eval_by_0.05,1.4,window_1.4s,0.7s,stride_0.7s,True,16.44654369354248,2,0.312,0.366,0.299
eval_by_0.05,1.4,window_1.4s,0.85s,stride_0.85s,True,16.56296944618225,3,0.1847,0.355,0.295
eval_by_0.05,1.4,window_1.4s,0.8s,stride_0.8s,True,16.77887988090515,4,0.1874,0.345,0.293
eval_by_0.05,1.4,window_1.4s,0.95s,stride_0.95s,True,16.226754188537598,1,0.1951,0.358,0.318
eval_by_0.05,1.4,window_1.4s,0.9s,stride_0.9s,True,17.67014193534851,2,0.1913,0.346,0.296
eval_by_0.05,1.4,window_1.4s,1.05s,stride_1.05s,True,16.675727367401123,3,0.187,0.349,0.293
eval_by_0.05,1.4,window_1.4s,1.0s,stride_1.0s,True,16.613511323928833,4,0.1782,0.35,0.3
eval_by_0.05,1.4,window_1.4s,1.15s,stride_1.15s,True,15.3942391872406,1,0.1788,0.337,0.294
eval_by_0.05,1.4,window_1.4s,1.1s,stride_1.1s,True,15.085049152374268,2,0.1913,0.341,0.289
eval_by_0.05,1.4,window_1.4s,1.25s,stride_1.25s,True,14.655802249908447,3,0.2124,0.351,0.295
eval_by_0.05,1.4,window_1.4s,1.2s,stride_1.2s,True,14.860129594802856,4,0.1969,0.334,0.292
eval_by_0.05,1.4,window_1.4s,1.35s,stride_1.35s,True,14.539203643798828,1,0.1726,0.338,0.293
eval_by_0.05,1.4,window_1.4s,1.3s,stride_1.3s,True,14.666785717010498,2,0.1829,0.341,0.29
eval_by_0.05,1.4,window_1.4s,1.4s,stride_1.4s,True,15.041001319885254,3,0.3202,0.33,0.272
eval_by_0.05,1.5,window_1.5s,0.75s,stride_0.75s,True,17.93418526649475,4,0.2172,0.348,0.294
eval_by_0.05,1.5,window_1.5s,0.85s,stride_0.85s,True,16.955179691314697,1,0.2103,0.358,0.289
eval_by_0.05,1.5,window_1.5s,0.8s,stride_0.8s,True,17.685527801513672,2,0.2121,0.355,0.299
eval_by_0.05,1.5,window_1.5s,0.95s,stride_0.95s,True,15.791534900665283,3,0.1818,0.36,0.311
eval_by_0.05,1.5,window_1.5s,0.9s,stride_0.9s,True,15.726074695587158,4,0.1989,0.362,0.307
eval_by_0.05,1.5,window_1.5s,1.05s,stride_1.05s,True,14.332334518432617,1,0.1939,0.341,0.286
eval_by_0.05,1.5,window_1.5s,1.15s,stride_1.15s,True,14.47405219078064,3,0.1736,0.348,0.298
eval_by_0.05,1.5,window_1.5s,1.0s,stride_1.0s,True,15.160127639770508,2,0.1732,0.345,0.296
eval_by_0.05,1.5,window_1.5s,1.1s,stride_1.1s,True,14.814359903335571,4,0.1894,0.348,0.285
eval_by_0.05,1.5,window_1.5s,1.25s,stride_1.25s,True,14.784759998321533,1,0.2707,0.353,0.304
eval_by_0.05,1.5,window_1.5s,1.2s,stride_1.2s,True,15.283100605010986,2,0.1943,0.343,0.293
eval_by_0.05,1.5,window_1.5s,1.35s,stride_1.35s,True,15.091102361679077,3,0.1662,0.335,0.295
eval_by_0.05,1.5,window_1.5s,1.3s,stride_1.3s,True,15.169700860977173,4,0.2083,0.351,0.297
eval_by_0.05,1.5,window_1.5s,1.45s,stride_1.45s,True,14.414073705673218,1,0.1871,0.331,0.293
eval_by_0.05,1.5,window_1.5s,1.4s,stride_1.4s,True,14.022019386291504,2,0.3212,0.337,0.28
