eval_type,window,stride,success,duration_seconds,worker_id,window_f1,word_f1,combined_iou
eval_by_0.05,window_1.1s,stride_0.55s,True,390.0592532157898,2,0.1979,0.6204,0.055
eval_by_0.05,window_1.1s,stride_0.6s,True,351.86899042129517,4,0.2021,0.6427,0.0581
eval_by_0.05,window_1.1s,stride_0.75s,True,290.9845335483551,1,0.1945,0.5736,0.056
eval_by_0.05,window_1.1s,stride_0.7s,True,296.0039367675781,2,0.1987,0.5709,0.0518
eval_by_0.05,window_1.1s,stride_0.85s,True,260.81429386138916,3,0.2059,0.5627,0.0558
eval_by_0.05,window_1.1s,stride_0.95s,True,242.75814843177795,1,0.1748,0.488,0.0468
eval_by_0.05,window_1.1s,stride_0.8s,True,268.6204798221588,4,0.1875,0.5263,0.0488
eval_by_0.05,window_1.1s,stride_1.05s,True,217.1390082836151,3,0.1966,0.5,0.0488
eval_by_0.05,window_1.1s,stride_0.9s,True,243.4874370098114,2,0.2073,0.5517,0.0519
eval_by_0.05,window_1.1s,stride_1.0s,True,227.085294008255,4,0.1949,0.5147,0.0513
eval_by_0.05,window_1.1s,stride_1.1s,True,210.3743851184845,1,0.2009,0.488,0.047
eval_by_0.05,window_1.2s,stride_0.65s,True,336.65115547180176,2,0.1956,0.5922,0.0493
eval_by_0.05,window_1.2s,stride_0.75s,True,315.39367032051086,4,0.1881,0.5349,0.0461
eval_by_0.05,window_1.2s,stride_0.7s,True,327.2645516395569,1,0.1904,0.5627,0.0481
eval_by_0.05,window_1.2s,stride_0.6s,True,356.33782601356506,3,0.1899,0.6,0.0475
eval_by_0.05,window_1.2s,stride_0.85s,True,260.87149024009705,2,0.2126,0.5147,0.0402
eval_by_0.05,window_1.2s,stride_0.95s,True,251.9445629119873,4,0.1843,0.497,0.0447
eval_by_0.05,window_1.2s,stride_0.8s,True,276.2852110862732,3,0.1869,0.5234,0.0429
eval_by_0.05,window_1.2s,stride_0.9s,True,253.37573337554932,1,0.1933,0.5089,0.0424
eval_by_0.05,window_1.2s,stride_1.05s,True,217.47578763961792,2,0.2078,0.5089,0.0464
eval_by_0.05,window_1.2s,stride_1.15s,True,214.03433394432068,4,0.1826,0.4476,0.0397
eval_by_0.05,window_1.2s,stride_1.0s,True,229.44257998466492,3,0.1911,0.491,0.0441
eval_by_0.05,window_1.2s,stride_1.1s,True,214.22824549674988,1,0.2006,0.4603,0.0421
eval_by_0.05,window_1.2s,stride_1.2s,True,230.58480143547058,2,0.1946,0.454,0.0382
eval_by_0.05,window_1.3s,stride_0.75s,True,281.0253267288208,4,0.1678,0.488,0.0386
eval_by_0.05,window_1.3s,stride_0.7s,True,297.4729495048523,1,0.1812,0.5292,0.0388
eval_by_0.05,window_1.3s,stride_0.65s,True,311.65025568008423,3,0.1885,0.5545,0.0428
eval_by_0.05,window_1.3s,stride_0.85s,True,236.7404568195343,2,0.2005,0.5118,0.0377
eval_by_0.05,window_1.3s,stride_0.95s,True,240.58841562271118,4,0.1874,0.488,0.0399
eval_by_0.05,window_1.3s,stride_0.8s,True,265.03426241874695,3,0.1883,0.5118,0.0397
eval_by_0.05,window_1.3s,stride_0.9s,True,247.72492027282715,1,0.1894,0.488,0.0364
eval_by_0.05,window_1.3s,stride_1.05s,True,194.78788042068481,2,0.191,0.4727,0.0381
eval_by_0.05,window_1.3s,stride_1.15s,True,201.35040855407715,4,0.1826,0.4283,0.0351
eval_by_0.05,window_1.3s,stride_1.1s,True,208.17530274391174,1,0.1919,0.4444,0.038
eval_by_0.05,window_1.3s,stride_1.0s,True,219.6942536830902,3,0.181,0.4603,0.0382
eval_by_0.05,window_1.3s,stride_1.25s,True,165.54812216758728,2,0.1839,0.4118,0.0342
eval_by_0.05,window_1.3s,stride_1.2s,True,200.61633276939392,3,0.1755,0.4217,0.0333
eval_by_0.05,window_1.3s,stride_1.3s,True,194.3814868927002,4,0.1829,0.3983,0.0318
eval_by_0.05,window_1.4s,stride_0.75s,True,320.6609470844269,1,0.1892,0.5205,0.0387
eval_by_0.05,window_1.4s,stride_0.7s,True,348.2796936035156,2,0.1876,0.5263,0.035
eval_by_0.05,window_1.4s,stride_0.85s,True,313.6296887397766,3,0.1982,0.503,0.0346
eval_by_0.05,window_1.4s,stride_0.8s,True,329.02792525291443,4,0.1947,0.497,0.0363
eval_by_0.05,window_1.4s,stride_0.95s,True,265.14047479629517,1,0.1809,0.4634,0.0354
eval_by_0.05,window_1.4s,stride_0.9s,True,280.4413626194,2,0.2057,0.5,0.038
eval_by_0.05,window_1.4s,stride_1.05s,True,250.9290907382965,3,0.1953,0.4634,0.0363
eval_by_0.05,window_1.4s,stride_1.0s,True,260.674599647522,4,0.1877,0.4665,0.0373
eval_by_0.05,window_1.4s,stride_1.15s,True,224.4908001422882,1,0.194,0.4283,0.0322
eval_by_0.05,window_1.4s,stride_1.1s,True,230.18724274635315,2,0.201,0.4634,0.0358
eval_by_0.05,window_1.4s,stride_1.25s,True,206.28723430633545,3,0.2029,0.4476,0.034
eval_by_0.05,window_1.4s,stride_1.2s,True,218.77178359031677,4,0.1909,0.425,0.0316
eval_by_0.05,window_1.4s,stride_1.35s,True,199.9618742465973,1,0.2046,0.4184,0.0341
