Window,Stride,Class,Precision,Recall,F1,Support,Correct_Predictions,Total_Predictions
0.6s,0.4s,กู,4.7,75.8,8.9,157,119,2529
0.6s,0.4s,มึง,4.9,23.9,8.1,117,28,574
0.6s,0.4s,เหี้ย,8.6,47.4,14.6,78,37,428
0.6s,0.55s,เย็ด,0.4,23.1,0.8,26,6,1470
0.6s,0.55s,กู,5.5,70.1,10.2,157,110,2003
0.6s,0.55s,มึง,5.3,18.8,8.3,117,22,415
0.6s,0.55s,เหี้ย,7.9,34.599999999999994,12.9,78,27,340
0.6s,0.5s,เย็ด,0.6,38.5,1.2,26,10,1579
0.6s,0.5s,กู,4.8,65.60000000000001,9.0,157,103,2129
0.6s,0.5s,มึง,6.0,23.1,9.5,117,27,453
0.6s,0.5s,เหี้ย,8.799999999999999,42.3,14.6,78,33,375
0.6s,0.6s,เย็ด,0.8,42.3,1.5,26,11,1401
0.6s,0.6s,กู,5.2,61.1,9.6,157,96,1851
0.6s,0.6s,มึง,5.7,18.8,8.799999999999999,117,22,384
0.6s,0.6s,เหี้ย,8.9,35.9,14.2,78,28,315
0.7s,0.35s,เย็ด,0.8,53.800000000000004,1.5,26,14,1825
0.7s,0.35s,กู,5.5,80.30000000000001,10.2,157,126,2306
0.7s,0.35s,มึง,4.8,25.6,8.0,117,30,629
0.7s,0.35s,เหี้ย,9.700000000000001,55.1,16.5,78,43,442
0.7s,0.45s,เย็ด,0.8999999999999999,53.800000000000004,1.7000000000000002,26,14,1617
0.7s,0.45s,กู,5.2,77.7,9.8,157,122,2341
0.7s,0.45s,มึง,4.9,19.7,7.8,117,23,471
0.7s,0.45s,เหี้ย,8.9,43.6,14.799999999999999,78,34,380
0.7s,0.4s,เย็ด,0.7000000000000001,46.2,1.4000000000000001,26,12,1698
0.7s,0.4s,กู,5.6000000000000005,75.8,10.4,157,119,2124
0.7s,0.4s,มึง,3.9,18.8,6.5,117,22,559
0.7s,0.4s,เหี้ย,9.700000000000001,50.0,16.2,78,39,403
0.7s,0.55s,เย็ด,0.6,30.8,1.0999999999999999,26,8,1381
0.7s,0.55s,กู,5.2,66.2,9.700000000000001,157,104,1981
