Method,Type,Configurations,Mean F1,Max F1,Std F1,Best Window,Best Stride,Window Correlation,Correlation P-Value
Old Method (eval_IoU_word_eval_sep),Traditional,225,0.1649,0.2333,0.0446,window_2.0s,stride_1.7s,,
Word Eval (New),Word-based,226,0.5022053097345133,0.9742,0.1676931736916568,0.3s,0.125s,-0.9421590090702049,2.5719423506332177e-108
Word IoU Eval,Word+IoU-based,10,0.45389,0.5545,0.06343576987788513,0.3s,0.25s,-0.8640235643945066,0.0012651684439196444
IoU Eval,IoU-based,226,0.0523783185840708,0.2486,0.046473878083020954,0.3s,0.25s,-0.8771642185582393,2.626143105525136e-73
