                                                                                         
{'loss': 0.5083, 'grad_norm': 0.18230891227722168, 'learning_rate': 0.00016700878588717886, 'epoch': 6.85}
{'loss': 0.5088, 'grad_norm': 0.3906922936439514, 'learning_rate': 0.00016580427127995515, 'epoch': 6.98}
{'loss': 0.4867, 'grad_norm': 0.3130030632019043, 'learning_rate': 0.0001645826771703534, 'epoch': 7.11}
{'loss': 0.4999, 'grad_norm': 0.14467774331569672, 'learning_rate': 0.0001633443206231947, 'epoch': 7.23}
{'loss': 0.5149, 'grad_norm': 0.023455603048205376, 'learning_rate': 0.00016208952305399175, 'epoch': 7.36}
{'loss': 0.5012, 'grad_norm': 0.38016843795776367, 'learning_rate': 0.00016081861014552546, 'epoch': 7.49}
{'loss': 0.4983, 'grad_norm': 0.03728126361966133, 'learning_rate': 0.000159531911763314, 'epoch': 7.61}
{'loss': 0.4896, 'grad_norm': 0.2932277321815491, 'learning_rate': 0.00015822976186999612, 'epoch': 7.74}
{'loss': 0.5103, 'grad_norm': 0.20034930109977722, 'learning_rate': 0.00015691249843865124, 'epoch': 7.87}
{'loss': 0.5033, 'grad_norm': 0.33725258708000183, 'learning_rate': 0.00015558046336507827, 'epoch': 7.99}
{'loss': 0.5086, 'grad_norm': 0.11221504956483841, 'learning_rate': 0.00015423400237905694, 'epoch': 8.12}
{'loss': 0.504, 'grad_norm': 1.0005567073822021, 'learning_rate': 0.00015287346495461315, 'epoch': 8.25}
{'loss': 0.5055, 'grad_norm': 0.8109576106071472, 'learning_rate': 0.00015149920421931342, 'epoch': 8.38}
{'loss': 0.4991, 'grad_norm': 0.08166317641735077, 'learning_rate': 0.00015011157686261014, 'epoch': 8.5}
{'loss': 0.4881, 'grad_norm': 0.13898326456546783, 'learning_rate': 0.0001487109430432633, 'epoch': 8.63}
{'loss': 0.5029, 'grad_norm': 0.06426803767681122, 'learning_rate': 0.00014729766629586083, 'epoch': 8.76}
{'loss': 0.4918, 'grad_norm': 0.007214291486889124, 'learning_rate': 0.00014587211343646344, 'epoch': 8.88}
{'loss': 0.5154, 'grad_norm': 0.15684179961681366, 'learning_rate': 0.00014443465446739744, 'epoch': 9.01}
{'loss': 0.5114, 'grad_norm': 0.1714874804019928, 'learning_rate': 0.00014298566248122053, 'epoch': 9.14}
{'loss': 0.4956, 'grad_norm': 0.1562371551990509, 'learning_rate': 0.0001415255135638856, 'epoch': 9.26}
{'loss': 0.5118, 'grad_norm': 1.10028076171875, 'learning_rate': 0.00014005458669712786, 'epoch': 9.39}
{'loss': 0.4926, 'grad_norm': 0.8461891412734985, 'learning_rate': 0.00013857326366009968, 'epoch': 9.52}
{'loss': 0.5053, 'grad_norm': 0.6059589982032776, 'learning_rate': 0.0001370819289302802, 'epoch': 9.64}
{'loss': 0.4924, 'grad_norm': 0.3834455609321594, 'learning_rate': 0.00013558096958368396, 'epoch': 9.77}
{'loss': 0.5047, 'grad_norm': 0.6813082098960876, 'learning_rate': 0.0001340707751943952, 'epoch': 9.9}
{'loss': 0.4916, 'grad_norm': 0.608146607875824, 'learning_rate': 0.00013255173773345412, 'epoch': 10.03}
{'loss': 0.4943, 'grad_norm': 0.020554589107632637, 'learning_rate': 0.00013102425146712077, 'epoch': 10.15}
{'loss': 0.4852, 'grad_norm': 0.23206843435764313, 'learning_rate': 0.00012948871285454295, 'epoch': 10.28}
{'loss': 0.5055, 'grad_norm': 0.5766941905021667, 'learning_rate': 0.0001279455204448555, 'epoch': 10.41}
{'loss': 0.5081, 'grad_norm': 0.7941441535949707, 'learning_rate': 0.00012639507477373672, 'epoch': 10.53}
{'loss': 0.5032, 'grad_norm': 0.18621638417243958, 'learning_rate': 0.00012483777825944925, 'epoch': 10.66}
{'loss': 0.5058, 'grad_norm': 0.2707292139530182, 'learning_rate': 0.00012327403509839252, 'epoch': 10.79}
{'loss': 0.5019, 'grad_norm': 0.008380550891160965, 'learning_rate': 0.00012170425116019362, 'epoch': 10.91}
{'loss': 0.498, 'grad_norm': 0.1764216274023056, 'learning_rate': 0.0001201288338823635, 'epoch': 11.04}
{'loss': 0.5127, 'grad_norm': 0.09703613072633743, 'learning_rate': 0.00011854819216454678, 'epoch': 11.17}
{'loss': 0.5232, 'grad_norm': 0.7753672003746033, 'learning_rate': 0.0001169627362623919, 'epoch': 11.29}
{'loss': 0.5017, 'grad_norm': 0.09412992745637894, 'learning_rate': 0.00011537287768106897, 'epoch': 11.42}
{'loss': 0.4997, 'grad_norm': 0.3718991279602051, 'learning_rate': 0.0001137790290684638, 'epoch': 11.55}
{'loss': 0.4918, 'grad_norm': 0.5726218819618225, 'learning_rate': 0.0001121816041080751, 'epoch': 11.68}
{'loss': 0.4903, 'grad_norm': 0.3655908405780792, 'learning_rate': 0.0001105810174116427, 'epoch': 11.8}
{'loss': 0.4949, 'grad_norm': 0.6895940899848938, 'learning_rate': 0.00010897768441153535, 'epoch': 11.93}
{'loss': 0.4941, 'grad_norm': 0.6276944875717163, 'learning_rate': 0.00010737202125292503, 'epoch': 12.06}
{'loss': 0.5152, 'grad_norm': 0.2766458988189697, 'learning_rate': 0.00010576444468577644, 'epoch': 12.18}
{'loss': 0.5041, 'grad_norm': 0.38462674617767334, 'learning_rate': 0.00010415537195667963, 'epoch': 12.31}
{'loss': 0.4972, 'grad_norm': 0.45849668979644775, 'learning_rate': 0.00010254522070055359, 'epoch': 12.44}
{'loss': 0.5048, 'grad_norm': 0.4222872257232666, 'learning_rate': 0.000100934408832249, 'epoch': 12.56}
{'loss': 0.4924, 'grad_norm': 0.058445192873477936, 'learning_rate': 9.932335443807848e-05, 'epoch': 12.69}
{'loss': 0.4859, 'grad_norm': 0.7729619145393372, 'learning_rate': 9.771247566730233e-05, 'epoch': 12.82}
{'loss': 0.5129, 'grad_norm': 0.28100284934043884, 'learning_rate': 9.61021906235977e-05, 'epoch': 12.94}
{'loss': 0.4923, 'grad_norm': 0.2863163352012634, 'learning_rate': 9.449291725653985e-05, 'epoch': 13.07}
{'loss': 0.5042, 'grad_norm': 0.12185288220643997, 'learning_rate': 9.288507325312335e-05, 'epoch': 13.2}
{'loss': 0.4808, 'grad_norm': 0.008211749605834484, 'learning_rate': 9.127907592935127e-05, 'epoch': 13.32}
{'loss': 0.5052, 'grad_norm': 0.4878607392311096, 'learning_rate': 8.96753421219211e-05, 'epoch': 13.45}
{'loss': 0.4981, 'grad_norm': 0.03770919144153595, 'learning_rate': 8.807428808003424e-05, 'epoch': 13.58}
{'loss': 0.5036, 'grad_norm': 0.5709589123725891, 'learning_rate': 8.647632935735898e-05, 'epoch': 13.71}
{'loss': 0.4933, 'grad_norm': 0.0779273509979248, 'learning_rate': 8.488188070417323e-05, 'epoch': 13.83}
{'loss': 0.5129, 'grad_norm': 0.37033867835998535, 'learning_rate': 8.329135595971625e-05, 'epoch': 13.96}
{'loss': 0.509, 'grad_norm': 0.15246441960334778, 'learning_rate': 8.170516794477649e-05, 'epoch': 14.09}
{'loss': 0.4992, 'grad_norm': 0.07243972271680832, 'learning_rate': 8.012372835454405e-05, 'epoch': 14.21}
{'loss': 0.4841, 'grad_norm': 0.582831084728241, 'learning_rate': 7.854744765175513e-05, 'epoch': 14.34}
{'loss': 0.5134, 'grad_norm': 0.3912026584148407, 'learning_rate': 7.697673496015638e-05, 'epoch': 14.47}
{'loss': 0.4877, 'grad_norm': 0.0813843309879303, 'learning_rate': 7.541199795831679e-05, 'epoch': 14.59}
{'loss': 0.5032, 'grad_norm': 0.22371946275234222, 'learning_rate': 7.385364277381482e-05, 'epoch': 14.72}
{'loss': 0.5074, 'grad_norm': 0.007952943444252014, 'learning_rate': 7.230207387782776e-05, 'epoch': 14.85}
{'loss': 0.5074, 'grad_norm': 0.6383258700370789, 'learning_rate': 7.075769398015146e-05, 'epoch': 14.97}
{'loss': 0.4966, 'grad_norm': 0.062233418226242065, 'learning_rate': 6.922090392467677e-05, 'epoch': 15.1}
{'loss': 0.4859, 'grad_norm': 0.1391177475452423, 'learning_rate': 6.769210258535052e-05, 'epoch': 15.23}
{'loss': 0.5046, 'grad_norm': 0.09415332227945328, 'learning_rate': 6.617168676264792e-05, 'epoch': 15.36}
{'loss': 0.5099, 'grad_norm': 0.3499816656112671, 'learning_rate': 6.466005108058274e-05, 'epoch': 15.48}
{'loss': 0.5158, 'grad_norm': 0.2645457684993744, 'learning_rate': 6.315758788428282e-05, 'epoch': 15.61}
{'loss': 0.5002, 'grad_norm': 0.2077779769897461, 'learning_rate': 6.16646871381568e-05, 'epoch': 15.74}
{'loss': 0.4882, 'grad_norm': 0.009744624607264996, 'learning_rate': 6.0181736324678786e-05, 'epoch': 15.86}
{'loss': 0.4967, 'grad_norm': 0.09123057126998901, 'learning_rate': 5.8709120343817326e-05, 'epoch': 15.99}
{'loss': 0.5001, 'grad_norm': 0.663827657699585, 'learning_rate': 5.7247221413134554e-05, 'epoch': 16.12}
